"key","title","year","journal","authors","language","abstract","doi","keywords","reviewer","status"
"rayyan-353830691","Impact of fear effect on the growth of prey in a predator-prey interaction model",2020,"ECOLOGICAL COMPLEXITY","Sarkar, K and Khajanchi, S","English","Several field data and experiments on a terrestrial vertebrates exhibited that the fear of predators would cause a substantial variability of prey demography. Fear for predator population enhances the survival probability of prey population, and it can greatly reduce the reproduction of prey population. Based on the experimental evidence, we proposed and analyzed a prey-predator system introducing the cost of fear into prey reproduction with Holling type-II functional response. We investigate all the biologically feasible equilibrium points, and their stability is analyzed in terms of the model parameters. Our mathematical analysis exhibits that for strong antipredator responses can stabilize the prey-predator interactions by ignoring the existence of periodic behaviors. Our model system undergoes Hopf bifurcation by considering the birth rate r(0) as a bifurcation parameter. For larger prey birth rate, we investigate the transition to a stable coexisting equilibrium state, with oscillatory approach to this equilibrium state, indicating that the greatest characteristic eigenvalues are actually a pair of imaginary eigenvalues with real part negative, which is increasing for r(0). We obtained the conditions for the occurrence of Hopf bifurcation and conditions governing the direction of Hopf bifurcation, which imply that the prey birth rate will not only influence the occurrence of Hopf bifurcation but also alter the direction of Hopf bifurcation. We identify the parameter regions associated with the extinct equilibria, predator-free equilibria and coexisting equilibria with respect to prey birth rate, predator mortality rates. Fear can stabilize the predator-prey system at an interior steady state, where all the species can exists together, or it can create the oscillatory coexistence of all the populations. We performed some numerical simulations to investigate the relationship between the effects of fear and other biologically related parameters (including growth/decay rate of prey/ predator), which exhibit the impact that fear can have in prey-predator system. Our numerical illustrations also demonstrate that the prey become less sensitive to perceive the risk of predation with increasing prey growth rate or increasing predators decay rate.","10.1016/j.ecocom.2020.100826     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Fear effect;Hopf bifurcation;Anti-predator defence;Stability analysis;Average Lyapunov functional;RISK;SYSTEM;PERSISTENCE;STABILITY;DEFENSE;FOOD;Prednisolone","Shawn","Included"
"rayyan-353830693","Spatiotemporal dynamics of a diffusive predator-prey model with fear effect",,"NONLINEAR ANALYSIS-MODELLING AND CONTROL","Liu, J and Kang, Y","English","This paper concerned with a diffusive predator???prey model with fear effect. First, some basic dynamics of system is analyzed. Then based on stability analysis, we derive some conditions for stability and bifurcation of constant steady state. Furthermore, we derive some results on the existence and nonexistence of nonconstant steady states of this model by considering the effect of diffusion. Finally, we present some numerical simulations to verify our theoretical results. By mathematical and numerical analyses, we find that the fear can prevent the occurrence of limit cycle oscillation and increase the stability of the system, and the diffusion can also induce the chaos in the system.","10.15388/namc.2022.27.27535     WE  - Science Citation Index Expanded (SCI-EXPANDED)","diffusion;stability;fear effect;predator-prey model;PATTERN-FORMATION;ANTIPREDATOR BEHAVIOR;BIFURCATION-ANALYSIS;GLOBAL ANALYSIS;RISK;Prednisolone","Shawn","Included"
"rayyan-353830697","Influence of fear effect and predator-taxis sensitivity on dynamical behavior of a predator-prey model",2022,"ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK","Dong, YX and Wu, DY and Shen, CS and Ye, LH","English","Experiments show that the fear of predators reduces the birth rate of the prey population, but it does not cause the extinction of the prey population. Even if the fear is sufficiently large, the prey can survive under the saturated fear cost. Moreover, the sensitivity of prey to predator will affect the population density of prey and predator. It is feasible to introduce the saturated fear cost and predator-taxis sensitivity into the predator-prey interactions model. In this paper, we obtain the threshold condition of the persistence for the proposed model and discuss all ecologically feasible equilibrium points and their stability in terms of the model parameters. Furthermore, when choose the fear level as bifurcation parameter, the model will arise single Hopf bifurcation point. However, when choose the predator-taxis sensitivity as bifurcation parameter, the model will arise two Hopf bifurcation points. In order to determine the stability of the limit cycle caused by Hopf bifurcation, the first Lyapunov number is calculated in detail. In addition, by the sensitivity analysis and the elasticity analysis, the saturated fear cost takes on the strong impact on the sensitivity for the model, and the predator death rate has a greater impact on the persistence of the model than the prey death rate. Our numerical illustration also shows that the predator-taxis sensitivity determines the success or failure of the predator invasion under appropriate fear level.","10.1007/s00033-021-01659-8     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Predator-taxis sensitivity;Fear effect;Predator-prey;Hopf bifurcation;RISK;PERSISTENCE;Prednisolone","Shawn","Included"
"rayyan-353830698","A delay non-autonomous model for the combined effects of fear, prey refuge and additional food for predator",2021,"JOURNAL OF BIOLOGICAL DYNAMICS","Nazmul, SK and Tiwari, PK and Pal, S and Martcheva, M","English","In this paper, we investigate the combined effects of fear, prey refuge and additional food for predator in a predator-prey system with Beddington type functional response. We observe oscillatory behaviour of the system in the absence of fear, refuge and additional food whereas the system shows stable dynamics if anyone of these three factors is introduced. After analysing the behaviour of system with fear, refuge and additional food, we find that the system destabilizes due to fear factor whereas refuge and additional food stabilize the system by killing persistent oscillations. We extend our model by considering the fact that after sensing the chemical/vocal cue, prey takes some time for assessing the predation risk. The delayed system shows chaotic dynamics through multiple stability switches for increasing values of time delay. Moreover, we see the impact of seasonal change in the level of fear on the delayed as well as non-delayed system.","10.1080/17513758.2021.2001583     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Prey-predator interactions;fear;refuge;additional food;time delay;seasonality;CHAIN MODEL;CHAOS;DYNAMICS;RISK;INTERFERENCE;IMPACT;OSCILLATIONS;EXTINCTION;MITIGATION;SURVIVAL;Food Additives;Prednisolone","Shawn","Included"
"rayyan-353830699","Modeling the Fear Effect in Predator-Prey Interactions with Adaptive Avoidance of Predators",2017,"BULLETIN OF MATHEMATICAL BIOLOGY","Wang, XY and Zou, XF","English","Recent field experiments on vertebrates showed that the mere presence of a predator would cause a dramatic change of prey demography. Fear of predators increases the survival probability of prey, but leads to a cost of prey reproduction. Based on the experimental findings, we propose a predator-prey model with the cost of fear and adaptive avoidance of predators. Mathematical analyses show that the fear effect can interplay with maturation delay between juvenile prey and adult prey in determining the long-term population dynamics. A positive equilibrium may lose stability with an intermediate value of delay and regain stability if the delay is large. Numerical simulations show that both strong adaptation of adult prey and the large cost of fear have destabilizing effect while large population of predators has a stabilizing effect on the predator-prey interactions. Numerical simulations also imply that adult prey demonstrates stronger anti-predator behaviors if the population of predators is larger and shows weaker anti-predator behaviors if the cost of fear is larger.","10.1007/s11538-017-0287-0     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Prey-predator interaction;Fear effect;Anti-predator response;Maturation delay;Equilibrium;Stability;Bifurcation;NICHOLSON BLOWFLIES EQUATION;PHENOTYPIC PLASTICITY;RISK;POPULATION;MATURATION;STABILITY;EVOLUTION;DELAY;Prednisolone","Shawn","Included"
"rayyan-353830700","Fear effect in prey and hunting cooperation among predators in a Leslie-Gower model",2019,"MATHEMATICAL BIOSCIENCES AND ENGINEERING","Pal, S and Pal, N and Samanta, S and Chattopadhyay, J","English","The predation strategy for predators and the avoidance strategy of prey are important topics in ecology and evolutionary biology. Both prey and predators adjust their behaviours in order to gain the maximal benefits and to increase their biomass for each. In the present paper, we consider a modified Leslie-Gower predator-prey model where predators cooperate during hunting and due to fear of predation risk, prey populations show anti-predator behaviour. We investigate step by step the impact of hunting cooperation and fear effect on the dynamics of the system. We observe that in the absence of fear effect, hunting cooperation can induce both supercritical and subcritical Hopf-bifurcations. It is also observed that fear factor can stabilize the predator-prey system by excluding the existence of periodic solutions and makes the system more robust compared to hunting cooperation. Moreover, the system shows two different types of bi-stabilities behaviour: one is between coexisting equilibrium and limit cycle oscillation, and another is between prey-free equilibrium and coexisting equilibrium. We also observe generalized Hopf-bifurcation and Bogdanov-Takens bifurcation in two parameter bifurcation analysis. We perform extensive numerical simulations for supporting evidence of our analytical findings.","10.3934/mbe.2019258     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Leslie-Gower model;fear effect;cooperation;multiple limit cycles;bifurcation;bi-stability;TEMPORAL VARIATION;GROUP-SIZE;PACK SIZE;RISK;ELK;ANTIPREDATOR;STABILITY;RESPONSES;BIFURCATION;BEHAVIOR;Prednisolone","Shawn","Included"
"rayyan-353830702","DIFFUSIVE PREDATOR-PREY MODELS WITH FEAR EFFECT IN SPATIALLY HETEROGENEOUS ENVIRONMENT",2021,"ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS","Li, SB and Xiao, YN and Dong, YY","English","This article concerns diffusive predator-prey models incorporating the cost of fear and environmental heterogeneity. Under homogeneous Neumann boundary conditions, we establish the uniform boundedness of global solutions and global stability of the trivial and semi-trivial solutions for the parabolic system. For the corresponding steady-state problem, we obtain sufficient conditions for the existence of positive steady states, and then study the effects of functional responses and the cost of fear on the existence, stability and number of positive steady states. We also discuss the effects of spatial heterogeneity and spatial diffusion on the dynamic behavior and establish asymptotic profiles of positive steady states as the diffusion rate of prey or predator individuals approaches zero or infinity. Our theoretical results suggest that fear plays a very important role in determining the dynamic behavior of the models, and it is necessary to revisit existing predator-prey models by incorporating the cost of fear.","","Predator-prey model;fear cost;spatial diffusion;environmental heterogeneity;STEADY-STATES;NATURAL ENEMIES;GENERALIST;SPECIALIST;Prednisolone","Shawn","Included"
"rayyan-353830704","Long-time behavior of a class of diffusive predator-prey systems with fear cost and protection zone",2021,"APPLIED MATHEMATICS LETTERS","Dong, YY and Li, SB","English","In the present paper, we study the long-time behavior of a class of diffusive predator-prey systems with fear cost and protection zone. The sufficient conditions for the extinction and persistence are established by using upper-lower solution method and comparison principle. The analytical results suggest that fear cost and protection zone have a significant impact on the dynamics. (C) 2021 Elsevier Ltd. All rights reserved.","10.1016/j.aml.2021.107388     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Predator-prey system;Fear cost;Protection zone;Long-time behavior;Prednisolone","Shawn","Included"
"rayyan-353830705","Threshold behavior of a stochastic predator-prey system with prey refuge and fear effect",2021,"APPLIED MATHEMATICS LETTERS","Qi, HK and Meng, XZ","English","In this paper, we investigate the threshold behavior of a stochastic predator-prey system with prey refuge, fear effect and non-constant mortality rate. First, we obtain thresholds which can determine the extinction and persistence in the mean of prey and predator. Then we establish the threshold for the existence of a unique ergodic stationary distribution via constructing suitable Lyapunov functions. We can draw conclusions: (1) the survival rate of prey can be improved by increasing the strength of refuge, decreasing the cost of fear or reducing the intensity of white noise; (2) the survival rate of predator can be improved by weakening the strength of refuge, increasing the cost of fear or reducing the intensity of white noise. (c) 2020 Elsevier Ltd. All rights reserved.","10.1016/j.aml.2020.106846     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Stochastic predator-prey system;Fear effect;Prey refuge;Threshold;Stationary distribution;Prednisolone","Shawn","Included"
"rayyan-353830708","A DELAY NONAUTONOMOUS PREDATOR-PREY MODEL FOR THE EFFECTS OF FEAR, REFUGE AND HUNTING COOPERATION",2021,"JOURNAL OF BIOLOGICAL SYSTEMS","Tiwari, PK and Verma, M and Pal, S and Kang, Y and Misra, AK","English","Fear of predation may assert privilege to prey species by restricting their exposure to potential predators, meanwhile it can also impose costs by constraining the exploration of optimal resources. A predator-prey model with the effect of fear, refuge, and hunting cooperation has been investigated in this paper. The system's equilibria are obtained and their local stability behavior is discussed. The existence of Hopf-bifurcation is analytically shown by taking refuge as a bifurcation parameter. There are many ecological factors which are not instantaneous processes, and so, to make the system more realistic, we incorporate three discrete time delays: in the effect of fear, refuge and hunting cooperation, and analyze the delayed system for stability and bifurcation. Moreover, for environmental fluctuations, we further modify the delayed system by incorporating seasonality in the fear, refuge and cooperation. We have analyzed the seasonally forced delayed system for the existence of a positive periodic solution. In the support of analytical results, some numerical simulations are carried out. Sensitivity analysis is used to identify parameters having crucial impacts on the ecological balance of predator-prey interactions. We find that the rate of predation, fear, and hunting cooperation destabilizes the system, whereas prey refuge stabilizes the system. Time delay in the cooperation behavior generates irregular oscillations whereas delay in refuge stabilizes an otherwise unstable system. Seasonal variations in the level of fear and refuge generate higher periodic solutions and bursting patterns, respectively, which can be replaced by simple 1-periodic solution if the cooperation and fear are also allowed to vary with time in the former and latter situations. Higher periodicity and bursting patterns are also observed due to synergistic effects of delay and seasonality. Our results indicate that the combined effects of fear, refuge and hunting cooperation play a major role in maintaining a healthy ecological environment.","10.1142/S0218339021500236     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Predator-Prey Model;Fear;Refuge;Hunting Cooperation;Time Delay;Seasonality;INDUCED STRESS;SYSTEM;DYNAMICS;RISK;STABILITY;FOOD;BIFURCATIONS;UNCERTAINTY;SENSITIVITY;VIGILANCE;Prednisolone","Shawn","Included"
