key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-353830900,Processing of visually evoked innate fear by a non-canonical thalamic pathway,2015,4,,NATURE COMMUNICATIONS,2041-1723     J9  - NAT COMMUN     JI  - Nat. Commun.,6,,,"Wei, PF and Liu, N and Zhang, ZJ and Liu, XM and Tang, YQ and He, XB and Wu, BF and Zhou, Z and Liu, YH and Li, J and Zhang, Y and Zhou, XY and Xu, L and Chen, L and Bi, GQ and Hu, XT and Xu, FQ and Wang, LP",,English,,"[""Chinese Acad Sci, Shenzhen Key Lab Neuropsychiat Modulat, CAS Ctr Excellence Brain Sci, Shenzhen Inst Adv Technol, Shenzhen 518055, Peoples R China"", ""Chinese Acad Sci, Collaborat Innovat Ctr Brain Sci, CAS Ctr Excellence Brain Sci, Shenzhen Inst Adv Technol, Shenzhen 518055, Peoples R China"", ""Chinese Acad Sci, Wuhan Inst Phys & Math, CAS Ctr Excellence Brain Sci, Wuhan 430071, Peoples R China"", ""Huazhong Univ Sci & Technol, Coll Life Sci & Technol, Wuhan 430071, Peoples R China"", ""Wuhan Univ, Coll Life Sci, Wuhan 430071, Peoples R China"", ""Chinese Acad Sci, Inst Zool, CAS Ctr Excellence Brain Sci, Kunming 650223, Peoples R China"", ""Chinese Acad Sci, State Key Lab Brain & Cognit Sci, Inst Biophys, CAS Ctr Excellence Brain Sci, Beijing 100101, Peoples R China"", ""Univ Sci & Technol China, CAS Key Lab Brain Funct & Dis, CAS Ctr Excellence Brain Sci, Hefei 230026, Peoples R China"", ""Univ Sci & Technol China, Sch Life Sci, CAS Ctr Excellence Brain Sci, Hefei 230026, Peoples R China     FU  - National Natural Science Foundation of China [NSFC 81425010, 91132306/H09, 91132307/H09, 3171061/C090208, Y5Z1161001]; Strategic Priority Research Program (B) [XDB02050300, XDB02050500]; Instrument Developing Project [2010019]; Key Laboratory for Health Informatics of the CAS; Ministry of Science and Technology of China [2012BAI01B08]; National Basic Research Program (973 Program) of China [2010CB529605, 2012CB825500, 2015CB755600]; Guangdong Innovative and Entrepreneurial Research Team Fund for Low-cost Healthcare Technologies [2013S046]; Shenzhen Peacock Plan; Project of 'Shenzhen Engineering Laboratory for Brain Activity Mapping Technologies'     FX  - We thank Karl Deisseroth for providing the plasmids (ChR2 and eNpHR3.0); Xiaolei Liu for production of AAVs virus; Yi Lu for designing the implanted optrode and Longnian Lin for the help on chronic micro drive system; Ed Callaway for providing rabies viruses and cell line; Enquist LW and Halina M for kindly offering materials of PRV; Ting Ding for production of EnvA-RV-mCherry; Xueyi Zhang and Xiaoran Xu for preparing of frozen sections; Jie Tu, Fan Yang and other members of Wang lab for discussion; Mu-ming Poo for comments. This project was partly supported by: the National Natural Science Foundation of China under grant numbers NSFC 81425010 (L.W.), 91132306/H09 (L.W.), 91132307/H09 (F.X.), 31171061/C090208 (F.X.) and Y5Z1161001 (F.X.); Strategic Priority Research Program (B) under grant numbers XDB02050300 (L.W.) and XDB02050500 (F.X.); the Instrument Developing Project under grant number 2010019 (L.W.); Key Laboratory for Health Informatics (L.W.) of the CAS, the National Key Technology Research and Development Program of the Ministry of Science and Technology of China under grant number 2012BAI01B08 (L.W.), the National Basic Research Program (973 Program) of China under grant numbers 2010CB529605 (L.W.), 2012CB825500 (L.C.) and 2015CB755600 (F.X.); Guangdong Innovative and Entrepreneurial Research Team Fund for Low-cost Healthcare Technologies (L.W.) and Program (No. 2013S046) (P.W.), Shenzhen Peacock Plan (P.W.) and the Project of 'Shenzhen Engineering Laboratory for Brain Activity Mapping Technologies' (P.W.).     PU  - NATURE PUBLISHING GROUP     PI  - LONDON     PA  - MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND""]","The ability of animals to respond to life-threatening stimuli is essential for survival. Although vision provides one of the major sensory inputs for detecting threats across animal species, the circuitry underlying defensive responses to visual stimuli remains poorly defined. Here, we investigate the circuitry underlying innate defensive behaviours elicited by predator-like visual stimuli in mice. Our results demonstrate that neurons in the superior colliculus (SC) are essential for a variety of acute and persistent defensive responses to overhead looming stimuli. Optogenetic mapping revealed that SC projections to the lateral posterior nucleus (LP) of the thalamus, a non-canonical polymodal sensory relay, are sufficient to mimic visually evoked fear responses. In vivo electrophysiology experiments identified a di-synaptic circuit from SC through LP to the lateral amygdale (Amg), and lesions of the Amg blocked the full range of visually evoked defensive responses. Our results reveal a novel collicular-thalamic-Amg circuit important for innate defensive responses to visual threats.","Times Cited in Web of Science Core Collection:  150     Total Times Cited:  158     Cited Reference Count:  70 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1038/ncomms7756     WE  - Science Citation Index Expanded (SCI-EXPANDED),RAT SUPERIOR COLLICULUS;LATERAL AMYGDALA;TOPOGRAPHIC ORGANIZATION;PERIAQUEDUCTAL GRAY;DEFENSIVE RESPONSES;FACIAL EXPRESSIONS;EMOTIONAL BRAIN;MEDIAL PULVINAR;CORTEX;CONNECTIONS;Fear,,
rayyan-353830901,Infanticide as a male reproductive strategy has a nutritive risk effect in brown bears,2013,10,23,BIOLOGY LETTERS,"[""1744-9561"", ""1744-957X     J9  - BIOL LETTERS     JI  - Biol. Lett.""]",9,5,,"Steyaert, SMJG and Reusch, C and Brunberg, S and Swenson, JE and Hacklander, K and Zedrosser, A",,English,,"[""Univ Nat Resources & Life Sci, Inst Wildlife Biol & Game Management, A-1180 Vienna, Austria"", ""Norwegian Univ Life Sci, Dept Ecol & Nat Resource Management, N-1432 As, Norway"", ""Norwegian Inst Nat Res, N-7485 Trondheim, Norway"", ""Telemark Univ Coll, Dept Environm & Hlth Studies, N-3800 Bo, Norway     FU  - Austrian Research Council [P20182]     FX  - S.S.M.J.G. was funded by the Austrian Research Council (P20182).     PU  - ROYAL SOC     PI  - LONDON     PA  - 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND""]","Behavioural strategies to reduce predation risk can incur costs, which are often referred to as risk effects. A common strategy to avoid predation is spatio-temporal avoidance of predators, in which prey typically trade optimal resources for safety. Analogous with predator-prey theory, risk effects should also arise in species with sexually selected infanticide (SSI), in which females with dependent offspring avoid infanticidal males. SSI can be common in brown bear (Ursus arctos) populations and explains spatio-temporal segregation among reproductive classes. Here, we show that in a population with SSI, females with cubs-of-the-year had lower quality diets than conspecifics during the SSI high-risk period, the mating season. After the mating season, their diets were of similar quality to diets of their conspecifics. Our results suggest a nutritive risk effect of SSI, in which females with cubs-of-the-year alter their resource selection and trade optimal resources for offspring safety. Such risk effects can add to female costs of reproduction and may be widespread among species with SSI.","Times Cited in Web of Science Core Collection:  27     Total Times Cited:  27     Cited Reference Count:  20 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1098/rsbl.2013.0624     WE  - Science Citation Index Expanded (SCI-EXPANDED),brown bear;risk effects;segregation;sexually selected infanticide;SPECTROSCOPY;SEGREGATION;ENERGY;Infanticide,,
rayyan-353830902,Temporal habitat shift of a polymorphic newt species under predation risk,2016,7,,BEHAVIORAL ECOLOGY,"[""1045-2249"", ""1465-7279     J9  - BEHAV ECOL     JI  - Behav. Ecol.""]",27,4,1025-1032,"Winandy, L and Colin, M and Denoel, M",,English,,"Univ Liege, Lab Fish & Amphibian Ethol, Behav Biol Unit, Dept Biol Ecol & Evolut, 22 Quai van Beneden, B-4020 Liege, Belgium     FU  - Fonds de la Recherche Scientifique (F.R.S.-FNRS) [J.008.13]; Fonds Speciaux grant from University of Liege [C11/23]; university's Animal Ethics Commission [1246]     FX  - This study was supported by a Fonds de la Recherche Scientifique (F.R.S.-FNRS) grant (number J.008.13) and a Fonds Speciaux grant from the University of Liege (number C11/23).     FX  - We thank 2 anonymous reviewers for their constructive comments on the manuscript, J.-M. Buresi for allowing access to his pond, G. Vandewalle for lending the luxmeter, and G. Rimbaud for logistic help in the laboratory. The collecting permit was issued by the Direction Regionale de l'Environnement, de l'Amenagement et du Logement (DREAL) Languedoc-Roussillon. The study was carried out in an accredited laboratory of the University of Liege (LA1610429), and the research project was accepted by the university's Animal Ethics Commission (protocol no. 1246). This is a publication of the Applied and Fundamental Fish Research Center (AFFISH-RC). L.W. and M.D. are a research fellow and a senior research associate, respectively, at the Fonds de la Recherche Scientifique (F.R.S.-FNRS).     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA","The temporal partitioning hypothesis suggests that the evolution of different diel activity rhythms in animals might facilitate the coexistence between prey and predators. However, the temporal shift of habitat use induced by predation has rarely been observed. The study of such a mechanism is particularly relevant for introduced species because it might explain how native species can persist or decline in response to the presence of alien species. The introduction of fish into ponds inhabited by amphibians has severe consequences for their occurrence and abundance. Fish particularly affect an alternative newt phenotype, the paedomorph, which does not undergo metamorphosis and maintains larval traits such as gills at the adult stage. In a laboratory design, we assessed the diel patterns of habitat use in the 2 distinct morphological phenotypes of palmate newt (Lissotriton helveticus) in the presence or absence of goldfish (Carassius auratus). Both newt phenotypes avoided a risky habitat more in the presence than in the absence of fish. This habitat shift was more pronounced during the daytime (i.e., when the risk could be considered higher for the newts) than during nighttime. However, in contrast to metamorphs, paedomorphs showed less adaptive changes according to temporal risk and remained in their shelter for most of the time. Temporal and habitat partitioning at the diel scale between native and alien species might promote their coexistence, but diel change can also imply a cost in the overall reduction of the time allocated to essential activities, showing that species interactions remain complex.","Times Cited in Web of Science Core Collection:  10     Total Times Cited:  10     Cited Reference Count:  90 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1093/beheco/arw008     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Alien species;amphibians;antipredator behavior;behavioral avoidance;diel pattern;paedomorphosis;risk allocation hypothesis;risk assessment;GOLDFISH CARASSIUS-AURATUS;TRITURUS-ALPESTRIS;FACULTATIVE PEDOMORPHOSIS;BEHAVIORAL-RESPONSES;ACTIVITY PATTERNS;INTRODUCED FISH;ALPINE NEWT;ANTIPREDATOR BEHAVIOR;LOCOMOTOR-ACTIVITY;FORAGING BEHAVIOR;Polymorphism, Genetic;Prednisolone",,
rayyan-353830903,The welfare of game birds destined for release into the wild: a balance between early life care and preparation for future natural hazards,2020,2,,ANIMAL WELFARE,0962-7286     J9  - ANIM WELFARE     JI  - Anim. Welf.,29,1,1-18,"Madden, JR and Santilli, F and Whiteside, MA",,English,,"[""Univ Exeter, Ctr Res Anim Behav, Psychol, Exeter EX4 4QG, Devon, England"", ""Studio Gest Faunist, Campiglia Marittima, Italy     FU  - European Research Council Consolidator Award [616474]     FX  - MAW and JRM were funded by a European Research Council Consolidator Award (616474) awarded to JRM.     PU  - UNIV FEDERATION ANIMAL WELFARE     PI  - WHEATHAMPSTEAD     PA  - OLD SCHOOL, BREWHOUSE HILL, WHEATHAMPSTEAD AL4 8AN, HERTS, ENGLAND""]","Globally, over 110 million game birds are reared annually and released for recreational hunting. Game birds differ from other reared livestock because they experience two very distinct environments during their lives. Chicks are first reared in captivity for 6-12 weeks under managed, stable conditions and then released into the wild. A limited set of 13 studies have explored how the rearing conditions experienced by chicks influences their pre-release welfare, typically in terms of physical injury (feather-pecking) or behavioural assays of stress responses. However, no studies have considered the specific indicators of welfare of game birds after release. We therefore need to draw from studies that do not specifically investigate welfare but instead ones that examine how rearing environments influence post-release morphology, behaviour and survival. Consequently, we reviewed how reared and wild-born game birds differ and suggest methods by which more naturalistic rearing conditions may be achieved. We noted five areas where artificial rearing deviates substantially from natural conditions: absence of adults; unnatural chick densities; unnatural diet; unnatural physical environment; and exclusion of predation risk. Mimicking or introducing some of these elements in game bird rearing practice could bring two benefits: i) facilitating more natural behaviour by the chicks during rearing; and ii) ensuring that birds after release are better able to cope with natural hazards. Together, these could result in an improved overall welfare for game birds. For example, enrichment of the spatial environment may serve to both improve welfare pre-release and after release into the wild. However, some adaptations may induce poor welfare for a short period in the young birds. For example, exposure to predators may be temporarily stressful, but ultimately such experiences in early life may permit them to better cope with such threats when released into the wild. Therefore, to achieve an optimal welfare for the entirety of a game bird's life, a careful balance between the conditions experienced in early life and adequate preparation for later life in the wild is required.","Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  173 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.7120/09627286.29.1.001     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI),animal welfare;conservation;hunting;partridge;pheasant;reintroduction biology;GREY PARTRIDGES PERDIX;RING-NECKED PHEASANTS;TONIC IMMOBILITY REACTION;FEATHER PECKING;LAYING HENS;BREEDING SUCCESS;ANIMAL-WELFARE;PHASIANUS-COLCHICUS;STOCKING DENSITY;ALECTORIS-RUFA,,
rayyan-353830904,"Vigilance, time budgets and predation risk in reintroduced captive-bred grey partridges Perdix perdix",2010,10,,APPLIED ANIMAL BEHAVIOUR SCIENCE,"[""0168-1591"", ""1872-9045     J9  - APPL ANIM BEHAV SCI     JI  - Appl. Anim. Behav. Sci.""]",127,1,43-50,"Rantanen, EM and Buner, F and Riordan, P and Sotherton, N and Macdonald, DW",,English,,"[""Univ Oxford, Wildlife Conservat Res Unit, Dept Zool, Recanati Kaplan Ctr, Abingdon OX13 5QL, Oxon, England"", ""Game & Wildlife Conservat Trust, Fordingbridge SP6 1EF, Hants, England     FU  - Game & Wildlife Conservation Trust     FX  - We thank the land owners and managers who allowed our study to be carried out on these study sites. We are grateful to D. Burnham for advice on methodology, and S. Baker, A. Houston, J. Lazarus and A. Poole for commenting the early drafts of this manuscript. This study was funded by the generous donations from the late Mr. Fred Packard and from Mr. Hugh van Cutsem. We also received funding from various donors through the Game & Wildlife Conservation Trust.     PU  - ELSEVIER     PI  - AMSTERDAM     PA  - RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS""]","Anti-predator behaviour has direct fitness consequences for prey species and thereby affects their reintroduction success, which has generally been poor. Development of anti-predator behaviour may be impaired in captive conditions which favour low emotional reactivity, resulting in poor perception of danger. Therefore, the newly reintroduced, naive animals may not behave adaptively in terms of anti-predator vigilance, resulting in increased vulnerability to predators. Such behavioural deficiencies may have contributed to the low success rates of reintroductions, but few studies have measured post-release vigilance in captive-bred animals, and none has been published on reintroduced grey partridges. Therefore, in this study we investigated post-release vigilance behaviour and time budgets in coveys of captive-bred grey partridges (Perdix perdix: N = 26) released in autumn over two years. We observed the captive-bred grey partridge coveys in the field, and recorded their group vigilance rates as well as time budgets of individual behaviour, including vigilance and feeding. Released grey partridges had low group vigilance rates and showed poor individual vigilance (4-5% of time spent vigilant) compared to their wild counterparts (43% of time spent vigilant; Watson et al., 2007). Moreover, released individuals spent 30-48% of their time feeding, and fed at this rate throughout the day, instead of concentrating their feeding around dawn and dusk like wild grey partridges do. The revealed vigilance and feeding behaviour in released grey partridges are likely to increase vulnerability to predators, and therefore offer plausible explanations for the high predation rates of released grey partridges observed with these and previous releases. Rearing methods should be developed to encourage wariness in the captive animals. In addition, the adaptive bimodal feeding routine of wild grey partridges should be encouraged in the captive-bred birds, for example by feeding them only at dawn and dusk. (C) 2010 Elsevier B.V. All rights reserved.","Times Cited in Web of Science Core Collection:  22     Total Times Cited:  24     Cited Reference Count:  51 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1016/j.applanim.2010.08.002     WE  - Science Citation Index Expanded (SCI-EXPANDED),Anti-predator behaviour;Captive breeding;Fearfulness;Feeding routines;Reintroduction;Vigilance;GROUP-SIZE;ANTIPREDATOR BEHAVIOR;ANIMALS;FITNESS;BIRDS;Prednisolone,,
rayyan-353830905,Comfort over safety: thermoregulation overshadows predation risk effects in the activity of a keystone prey,2022,3,,JOURNAL OF ZOOLOGY,"[""0952-8369"", ""1469-7998     J9  - J ZOOL     JI  - J. Zool.""]",316,3,209-222,"Rocha, M and Serronha, A and Rodrigues, M and Alves, PC and Monterroso, P",,English,,"[""Univ Minho, Escola Ciencias, Braga, Portugal"", ""Univ Porto, Ctr Invest Biodiversidade & Recursos Genet, InBIO Lab Associado, CIBIO, Vairao, Portugal"", ""CIBIO, BIOPOLIS Program Genom Biodivers & Land Planning, Vairao, Portugal"", ""Estacao Biol Mertola EBM, Mertola, Portugal"", ""Univ Porto, Dept Biol, Fac Ciencias, Porto, Portugal"", ""Univ Montana, Wildlife Biol Program, Dept Ecosyst & Conservat Sci, WA Franke Coll Forestry & Conservat, Missoula, MT 59812 USA     FU  - Portuguese Fund for the Conservation of Nature and Biodiversity [UID/BIA/50027/2020]; FCT/MCTES through national funds     FX  - This work was supported by the project \""SOS Coelho\"", funded by the Portuguese Fund for the Conservation of Nature and Biodiversity. PM was supported by UID/BIA/50027/2020 with funding from FCT/MCTES through national funds. We thank Raquel Neves, Teresa Oliveira, Nelson Fernandes, Antonio Matos, and Luiz Cesca for their assistance during fieldwork and image classification. We acknowledge all the logistic support provided by the ANPC - AssociacAo Nacional de Proprietarios Rurais GestAo Cinegetica e Biodiversidade, particularly through JoAo Carvalho, and by their game estate affiliates without whose support this work would not have been possible.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","The activity level is a fundamental metric of animal behavior, related to the avoidance of predators, food acquisition, and thermoregulation. Animals need to weigh their activity budget to fulfill their energetic, social and reproductive requirements over the energetic costs of these activities. This task becomes further challenging for prey species, which also need to account for predation risk. To investigate the factors shaping proactive behavioral decisions leading prey species engagement in their diel activities, we implemented a multisite year-round monitoring study on the Iberian rabbit (Oryctolagus cuniculus algirus), a key prey species in Mediterranean ecosystems. We deployed remotely triggered cameras over 15 sites to continuously monitor Iberian rabbits' activity. We estimated activity levels from time-of-detection data from camera traps, and modeled it as a function of climatic, intraspecific, predation, and resource-related covariates. We found that Iberian rabbits exhibit a bimodal activity pattern peaking at sunrise and sunset, with a more pronounced peak occurring at sunrise during the nonbreeding season, and spend 9.15 +/- 3.00 h/day (mean +/- sd) active. Diel activity levels were negatively affected by extreme environmental temperatures and density dependence, demonstrating the privileged importance of social interactions and normothermia maintenance. We found mammalian predator activity and abundance to have near-negligible effects on the activity levels of this key prey, suggesting decreased antipredator behavior when risk is perceived as prolonged. Moreover, we argue that perceived risk may be more important than realized risk in shaping Iberian rabbits' activity level. These results provide valuable insights toward a comprehensive understanding of the factors underlying behavioral decisions made by prey species, relevant for maintaining their energetic and homeostatic balance.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  113 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1111/jzo.12947     WE  - Science Citation Index Expanded (SCI-EXPANDED),activity budgets;activity level;diel activity;European rabbit;Oryctolagus cuniculus algirus;predation risk;thermoregulation;RABBIT ORYCTOLAGUS-CUNICULUS;EUROPEAN WILD RABBITS;GROUP-SIZE;ACTIVITY PATTERNS;PHYSIOLOGICAL-RESPONSES;ANTIDORCAS-MARSUPIALIS;TEMPORAL VARIATION;NATIONAL-PARK;VIGILANCE;ABUNDANCE;Body Temperature Regulation;Prednisolone,,
rayyan-353830906,Fun and Games: predator-prey foraging games and related interactions,2016,9,,ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,"[""1565-9801"", ""2224-4662     J9  - ISR J ECOL EVOL     JI  - Isr. J. Ecol. Evol.""]",62,3,118-120,"Kotler, B",,English,,,,"Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  19 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1080/15659801.2016.1233689     WE  - Science Citation Index Expanded (SCI-EXPANDED),"ANTIPREDATOR BEHAVIOR;RISK-MANAGEMENT;ALLOCATION;CHOICE;OWLS;PU  - BRILL ACADEMIC PUBLISHERS;PI  - LEIDEN;PA  - PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS;Prednisolone",,
rayyan-353830907,"Effects of hunger and predation risk on foraging behavior of graybelly salamanders, Eurycea multiplicata",2000,7,,JOURNAL OF CHEMICAL ECOLOGY,0098-0331     J9  - J CHEM ECOL     JI  - J. Chem. Ecol.,26,7,1659-1665,"Whitham, J and Mathis, A",,English,,"SW Missouri State Univ, Dept Biol, Springfield, MO 65804 USA     PU  - KLUWER ACADEMIC/PLENUM PUBL     PI  - NEW YORK     PA  - 233 SPRING ST, NEW YORK, NY 10013 USA","We examined the effects of predation and hunger levels on fr,raging behavior of adult neotenic graybelly salamanders, Eurycea multiplicata griseogaster. Hungry and satiated salamanders were exposed to chemical stimuli from a predatory fish (sculpin, Cottus carolinae) and from two nonpredatory species, golden redhorse fish (Moxostoma erythrurum) and tadpoles of leopard frogs (Rana sphenocephala). Latency to attack prey was lengthened in the presence of chemical stimuli from predators regardless of hunger levels, but hungry salamanders had shorter latency times than satiated salamanders. There was no interaction between hunger and threat levels. In addition, salamanders distinguished between chemical stimuli from predatory (sculpin) and nonpredatory (redhorse) fishes; responses to redhorse and tadpole stimuli were not different. Handling limes were not affected by either predator treatment or hunger level. In summary, graybelly salamanders can (1) recognize sculpin predators based solely on chemical cues, (2) distinguish between chemical stimuli from predatory and nonpredatory fish, and (3) adjust their foraging behavior according to both hunger and predation risk.","Times Cited in Web of Science Core Collection:  43     Total Times Cited:  45     Cited Reference Count:  27 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1023/A:1005590913680     WE  - Science Citation Index Expanded (SCI-EXPANDED),foraging behavior;predator recognition;risk assessment;hunger levels;condition-dependent behavior;graybelly salamander;banded sculpin;Eurycea multiplicata;Cottus carolinae;TERRESTRIAL SALAMANDERS;GASTEROSTEUS-ACULEATUS;CUES;STICKLEBACKS;DECISIONS;TADPOLES;MINNOWS;Prednisolone,,
rayyan-353830908,Effects of predation risk on elk (Cervus elaphus) landscape use in a wolf (Canis lupus) dominated system,2015,2,,CANADIAN JOURNAL OF ZOOLOGY,"[""0008-4301"", ""1480-3283     J9  - CAN J ZOOL     JI  - Can. J. Zool.""]",93,2,99-111,"Eisenberg, C and Hibbs, DE and Ripple, WJ",,English,,"[""Oregon State Univ, Coll Forestry, Corvallis, OR 97331 USA"", ""Oregon State Univ, Coll Forestry, Dept Forest Ecosyst & Soc, Corvallis, OR 97331 USA     FU  - Boone and Crockett Club     FX  - We gratefully acknowledge statistical support from L. Ganio and financial support from the Boone and Crockett Club. We thank the Southwest Alberta Montane Research Program, Glacier National Park, Parks Canada, and the Alberta Division of Fish and Game for supporting this project logistically and technologically. We are grateful to L. Magalska for technical support and to D. Moskowitz, D. Hansche, R. Watt, J. Russell, A. Lowrey, and B. Lowrey for field support.     PU  - CANADIAN SCIENCE PUBLISHING     PI  - OTTAWA     PA  - 65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA""]","Food acquisition and predation avoidance are key drivers of herbivore behaviour. We investigated the interaction of top-down (predator) and bottom-up (food, fire, thermal) effects by measuring the relationship between wolf (Canis lupus L., 1758) predation risk perceived by elk (Cervus elaphus L., 1758) and elk landscape use. We conducted fecal pellet and wolf scat surveys in three valleys with three wolf population levels (Saint Mary: low; Waterton: moderate; North Fork: high). In the North Fork, 90% of quaking aspen (Populus tremuloides Michx.) stands burned recently; the other valleys had no fire. We created predictive models of elk pellet density that incorporated bottom-up and top-down variables. All valleys had a high elk pellet density (>= 10 per 100 m(2)). Wolf scat density was similar where there was no fire, but one order of magnitude greater in burned areas. Elk pellet density was lower in the North Fork, a predation-related response. In all valleys, site-specific elk density declined as impediments to detecting or escaping wolves increased, and elk avoided aspen, except for North Fork unburned areas. Models that best predicted elk density contained bottom-up and top-down effects. At local scales, high predation risk negatively influence elk occurrence, suggesting that even with minimal wolf exposure elk avoid risky sites.","Times Cited in Web of Science Core Collection:  7     Total Times Cited:  7     Cited Reference Count:  78 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1139/cjz-2014-0138     WE  - Science Citation Index Expanded (SCI-EXPANDED),elk;Cervus elaphus;predation risk;wolves;Canis lupus;trophic cascades;YELLOWSTONE-NATIONAL-PARK;TROPHIC CASCADES;COMMUNITY STRUCTURE;POPULATION-CONTROL;HABITAT SELECTION;FOOD WEBS;TOP-DOWN;WOLVES;ASPEN;PREY;Prednisolone,,
rayyan-353830909,"Highways, crossing structures and risk: Behaviors of Greater Yellowstone pronghorn elucidate efficacy of road mitigation",2018,7,,GLOBAL ECOLOGY AND CONSERVATION,2351-9894     J9  - GLOB ECOL CONSERV     JI  - Glob. Ecol. Conserv.,15,,,"Seidler, RG and Green, DS and Beckmann, JP",,English,,"[""Wildlife Conservat Soc, North Amer Program, Teton Field Off, POB 936, Driggs, ID 83422 USA"", ""Oregon State Univ, Inst Nat Resources, 234 Strand Agr Hall, Corvallis, OR 97331 USA"", ""Wildlife Conservat Soc, North Amer Program, 212 South Wallace,Suite 101, Bozeman, MT 59715 USA"", ""Idaho Dept Fish & Game, 4279 Commerce Circle, Idaho Falls, ID 83401 USA     FU  - National Fish and Wildlife Foundation [0103.12.028710]; U.S. Bureau of Land Management [L15AC00084]     FX  - This work was supported by the National Fish and Wildlife Foundation [grant number 0103.12.028710] and the U.S. Bureau of Land Management [grant number L15AC00084]. Funders had no involvement in the study design; collection, analysis or interpretation of data; in the writing of this article; or in the decision to submit this article for publication.     PU  - ELSEVIER SCIENCE BV     PI  - AMSTERDAM     PA  - PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS""]","Wildlife crossing structures and accompanying barrier fencing can prevent large mammals from accessing road surfaces and can significantly reduce wildlife-vehicle collisions while allowing animals to move from one side of the road to the other. Little research has been conducted on the behavioral responses of wildlife when encountering these novel structures over time. We used the installation of new wildlife road crossing structures built along a 6000-year old migration route to evaluate behavioral responses of long-distance migrators to the structures. We collected behavioral data during and after construction in order to evaluate individuals' immediate responses to these structures and to investigate how they changed over time using generalized linear mixed-effects models and generalized additive models fit by maximum likelihood. Pronghorn acclimated to the crossing structures and the frequency in which they successfully crossed them increased over time. The probability of pronghorn successfully crossing a structure was not influenced by human presence. Pronghorn spent more time in sustained vigilance behaviors after construction. Pronghorn also spent more time in sustained vigilance behaviors at relatively further distances from a structure and lead individuals spent more time in sustained vigilance behaviors than non-lead individuals. We did not detect any significant factors associated with stress behaviors. Pronghorn still demonstrated high sustained vigilance when approaching the structures after 20 months post construction, despite an increase in crossing success. While we found evidence of risk-avoidance behaviors in pronghorn at crossing structures, this work provides evidence that pronghorn gradually acclimated to wildlife crossing structures built in a historical migration corridor in the Greater Yellowstone Ecosystem. We recommend using task completion chronology (rather than project completion dates) to install wildlife mitigation and we recommend using wildlife friendly fencing when fences are required for multiple use (e.g., cattle) at crossing structure entrances. (C) 2018 The Authors. Published by Elsevier B.V.","Times Cited in Web of Science Core Collection:  14     Total Times Cited:  16     Cited Reference Count:  55 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1016/j.gecco.2018.e00416     WE  - Science Citation Index Expanded (SCI-EXPANDED),Antilocapra americana;Behavior;Highway crossing structure;Overpass;Pronghorn;Risk-avoidance;WILDLIFE-VEHICLE COLLISIONS;PREDATION RISK;MULE DEER;MOUNTAIN GOATS;NATIONAL-PARK;LARGE MAMMALS;UNDERPASSES;MIGRATION;POPULATION;OVERPASSES,,
